rank,Stadium,Capacity,City,Country,Home Team(s)
47,Castelão,"70,000",São Luís, Brazil,"Sampaio Corrêa, Moto Club, Maranhão"
48,Kim Il-sung Stadium,"70,000",Pyongyang, North Korea,Pyongyang City Sports Group
49,Allianz Arena,"69,901",Munich, Germany,"Bayern Munich, 1860 Munich"
50,Castelão,"69,000",Fortaleza, Brazil,"Ceará, Fortaleza"
51,Hrazdan Stadium,"69,000",Yerevan, Armenia,"FC Ararat Yerevan, FC Kilikia Yerevan"
52,Stadium Puskás Ferenc,"68,976",Budapest, Hungary,Hungary national football team
53,Gillette Stadium,"68,756",Foxborough, USA,"New England Patriots, New England Revolution"
54,Stadio delle Alpi,"67,229",Turin, Italy,"Juventus F.C., Torino F.C. 1906 (part-time)"
55,King Fahd International Stadium,"67,000",Riyadh,Saudi Arabia,"Al Hilal, Al Shabab"
56,Qwest Field,"67,000",Seattle, USA,"Seattle Seahawks, Seattle Sounders"
57,Estadio Nacional de Chile,"66,650",Santiago, Chile,"Chile national football team, Universidad de Chile"
58,Workers Stadium,"66,161",Beijing,China,"2008 Olympics football tournament, some Beijing Guoan matches"
59,Estádio Fonte Nova,"66,080",Salvador, Brazil,Esporte Clube Bahia
60,Seoul World Cup Stadium,"66,080",Seoul, South Korea,FC Seoul
61,Stade 5 Juillet 1962,"66,000",Algiers, Algeria,MC Algiers
62,Daegu World Cup Stadium,"65,754",Daegu, South Korea,Daegu FC
63,Estádio da Luz,"65,647",Lisbon, Portugal,Benfica
64,El Monumental,"65,645",Buenos Aires, Argentina,"Argentina national football team, River Plate"
